beta0,gammaR,omega1,rel_2inf,gamma_mod,mu,beta1,ST_S,ST_I1,ST_R1,ST_R2,ST_I2,steady,mapi
81.15111111111112,40.55555555555556,0.02,0.63,1,0.02,0,0.4196282715580687,1.8086768362508975e-4,0.23913031072173743,0.12757417198194373,5.498686941552789e-5,TRUE,57.179359836770104
81.15111111111112,40.55555555555556,0.03,0.63,1,0.02,0,0.3901673593241087,2.0419216744047773e-4,0.23962736865779694,0.17433773203950126,9.123883501437807e-5,TRUE,47.092009643442395
81.15111111111112,40.55555555555556,0.04,0.63,1,0.02,0,0.37108273051517726,2.09112602326944e-4,0.219287988120044,0.20463058646953072,1.1531346228900865e-4,TRUE,43.734690961527086
81.15111111111112,40.55555555555556,0.05,0.63,1,0.02,0,0.351976364609068,2.2145054486790835e-4,0.21394651507760706,0.23495815168069106,1.4782700170436024e-4,TRUE,39.17168679294908
81.15111111111112,40.55555555555556,0.06,0.63,1,0.02,0,0.36285450143327874,1.790081975585256e-4,0.14519017891797945,0.21769127178380518,1.073943471564343e-4,TRUE,49.95685823859322
81.15111111111112,40.55555555555556,0.07,0.63,1,0.02,0,0.3237556755601024,2.3569568743928257e-4,0.19798192075846374,0.27975289509725404,2.0366145177810966e-4,TRUE,33.85332105080758
81.15111111111112,40.55555555555556,0.08,0.63,1,0.02,0,0.31267053354555097,2.4065301156193063e-4,0.19041360992907547,0.29734835907225504,2.288599992220828e-4,TRUE,32.020726362731914
81.15111111111112,40.55555555555556,0.09,0.63,1,0.02,0,0.30249743219670333,2.4569387845848863e-4,0.1844618208981206,0.3134961387511644,2.546272247995529e-4,TRUE,30.3433050422215
81.15111111111112,40.55555555555556,0.1,0.63,1,0.02,0,0.2936922232377625,2.496238686403857e-4,0.17843073653434266,0.3274726615265884,2.7833557096808054e-4,TRUE,28.99625180085984
81.15111111111112,40.55555555555556,0.11,0.63,1,0.02,0,0.2850083601260065,2.54463923934845e-4,0.17443503497948018,0.3412565712253297,3.0468399641032213e-4,TRUE,27.60367494502324
81.15111111111112,40.55555555555556,0.12,0.63,1,0.02,0,0.2775541078690393,2.580480975177738e-4,0.16984737380868395,0.3530885495920245,3.2827434357524896e-4,TRUE,26.5083367512564
81.15111111111112,40.55555555555556,0.13,0.63,1,0.02,0,0.2706408727274352,2.614704204567957e-4,0.16579016763842253,0.3640620144200112,3.517260899867177e-4,TRUE,25.509760368929793
81.15111111111112,40.55555555555556,0.14,0.63,1,0.02,0,0.2642909264522452,2.6458589065404706e-4,0.16200547085630454,0.37414135954473915,3.745589806694942e-4,TRUE,24.61790439232178
81.15111111111112,40.55555555555556,0.15,0.63,1,0.02,0,0.25839018955572624,2.6750379118683484e-4,0.15853357611894076,0.3835076329081976,3.9703421281860675e-4,TRUE,23.805735626369852
81.15111111111112,40.55555555555556,0.16,0.63,1,0.02,0,0.25291135250057334,2.7020254607962806e-4,0.15528749423879065,0.39220420553919416,4.1901866122679267e-4,TRUE,23.068237158966376
81.15111111111112,40.55555555555556,0.17,0.63,1,0.02,0,0.2477861980285665,2.7273902810823523e-4,0.15227411605289226,0.40033936950165183,4.4065477586563044e-4,TRUE,22.39058011814721
81.15111111111112,40.55555555555556,0.18,0.63,1,0.02,0,0.24300530055994224,2.7508391911098195e-4,0.1494191864815817,0.40792809389320495,4.6177782244205805e-4,TRUE,21.77138558850654
81.15111111111112,40.55555555555556,0.19,0.63,1,0.02,0,0.23850095981499628,2.7730752482022435e-4,0.1467575798062797,0.415077841349032,4.826152856835357e-4,TRUE,21.196492502773726
81.15111111111112,40.55555555555556,0.2,0.63,1,0.02,0,0.23425880007414954,2.794006468712223e-4,0.14424789952773726,0.421811428486365,5.030948081011623e-4,TRUE,20.66350701974344
81.15111111111112,40.55555555555556,0.21,0.63,1,0.02,0,0.23025479392341613,2.8137400481017145e-4,0.14187373542637602,0.428166993784179,5.232249878818685e-4,TRUE,20.16787933197728
81.15111111111112,40.55555555555556,0.22,0.63,1,0.02,0,0.2264650712278522,2.8324155586657065e-4,0.13962547091110436,0.4341824266148295,5.430352034977762e-4,TRUE,19.705151674687865
81.15111111111112,40.55555555555556,0.23,0.63,1,0.02,0,0.22286965102997522,2.850141038483036e-4,0.1374932761372058,0.43988944281222336,5.625471874084453e-4,TRUE,19.271703561291385
81.15111111111112,40.55555555555556,0.24,0.63,1,0.02,0,0.2194533466762504,2.867000368507703e-4,0.13546629778443867,0.4453118875115222,5.817679909365546e-4,TRUE,18.864709897639283
81.15111111111112,40.55555555555556,0.25,0.63,1,0.02,0,0.21619950842472282,2.883021020514766e-4,0.1335349139118756,0.45047697075430365,6.007111604303251e-4,TRUE,18.48172136460541
81.15111111111112,40.55555555555556,0.26,0.63,1,0.02,0,0.2130975337461245,2.898322657876023e-4,0.13169242531665212,0.455400821630629,6.193870408049225e-4,TRUE,18.120374711509303
81.15111111111112,40.55555555555556,0.27,0.63,1,0.02,0,0.2101337664774737,2.912932699637673e-4,0.129932021048125,0.4601051087148627,6.378104895716802e-4,TRUE,17.77873819052518
81.15111111111112,40.55555555555556,0.28,0.63,1,0.02,0,0.2072985812564569,2.9269002389666044e-4,0.12824734384487393,0.46460539696178416,6.559879129888031e-4,TRUE,17.455164781720793
81.15111111111112,40.55555555555556,0.29,0.63,1,0.02,0,0.20458266241466347,2.940285512480278e-4,0.12663296230088733,0.468916414682657,6.739320505459788e-4,TRUE,17.14805412932469
81.15111111111112,40.55555555555556,0.3,0.63,1,0.02,0,0.20197761644972753,2.953126915236476e-4,0.12508400961318883,0.47305140992904676,6.9165131651492e-4,TRUE,16.85608270182903
81.15111111111112,40.55555555555556,0.31,0.63,1,0.02,0,0.19947588870902938,2.965457474520375e-4,0.12359601728289749,0.47702239507466276,7.091531859530289e-4,TRUE,16.578080213107476
81.15111111111112,40.55555555555556,0.32,0.63,1,0.02,0,0.1970706411228538,2.977311726485075e-4,0.1221649348411308,0.48084024711177104,7.264457515993971e-4,TRUE,16.31297424766228
81.15111111111112,40.55555555555556,0.33,0.63,1,0.02,0,0.19475565746070342,2.988721612847751e-4,0.12078710551232016,0.484514828091483,7.435367742025291e-4,TRUE,16.05980046395273
81.15111111111112,40.55555555555556,0.34,0.63,1,0.02,0,0.19252527596981983,2.9997149110003196e-4,0.11945920179782037,0.48805511749360775,7.60433247650618e-4,TRUE,15.817698699885888
81.15111111111112,40.55555555555556,0.35000000000000003,0.63,1,0.02,0,0.19037432944100882,3.010316673187059e-4,0.1181781796274015,0.4914693175765069,7.771416877610059e-4,TRUE,15.585894382739001
81.15111111111112,40.55555555555556,0.36,0.63,1,0.02,0,0.1882980895643936,3.0205501469084464e-4,0.11694125115774653,0.494764935936689,0.00079366832647961925,TRUE,15.36368484966735
81.15111111111112,40.55555555555556,0.37,0.63,1,0.02,0,0.18629221881589056,3.030436814627876e-4,0.11574586042747079,0.49794885797863636,8.100190965393373e-4,TRUE,15.15043171652805
81.15111111111112,40.55555555555556,0.38,0.63,1,0.02,0,0.18435272947702197,3.039996371101479e-4,0.11458965845800508,0.5010274128276215,8.26199600238749e-4,TRUE,14.945554511194494
81.15111111111112,40.55555555555556,0.39,0.63,1,0.02,0,0.18247594804723338,3.049246895089788e-4,0.11347048101888477,0.5040064311145925,8.422151297865274e-4,TRUE,14.748524172626547
81.15111111111112,40.55555555555556,0.4,0.63,1,0.02,0,0.18065848390829836,3.058205072911273e-4,0.11238633003257717,0.5068912948464985,8.580707053280109e-4,TRUE,14.558857081719214
81.15111111111112,40.55555555555556,0.41000000000000003,0.63,1,0.02,0,0.1788972015347143,3.0668863525122836e-4,0.11133535755292202,0.509686981177692,8.737710994206483e-4,TRUE,14.376110089604168
81.15111111111112,40.55555555555556,0.42,0.63,1,0.02,0,0.17718919609197165,3.075305053377624e-4,0.11031585156509177,0.5123981009860239,8.893208515788939e-4,TRUE,14.199876315384715
81.15111111111112,40.55555555555556,0.43,0.63,1,0.02,0,0.17553177184229393,3.083474462351485e-4,0.10932622323545377,0.5150289331946523,9.047242813660208e-4,TRUE,14.029781468892804
81.15111111111112,40.55555555555556,0.44,0.63,1,0.02,0,0.17392242299127464,3.091406926570771e-4,0.10836499557944869,0.5175834552340322,9.19985502582235e-4,TRUE,13.865480584614764
81.15111111111112,40.55555555555556,0.45,0.63,1,0.02,0,0.17235881668281228,3.099113940944355e-4,0.1074307934365441,0.5200653700491794,9.35108437368539e-4,TRUE,13.706655128411613
81.15111111111112,40.55555555555556,0.46,0.63,1,0.02,0,0.170838777790945,3.106606223935655e-4,0.10652233453043893,0.5224781302273978,9.500968288280495e-4,TRUE,13.55301045134402
81.15111111111112,40.55555555555556,0.47000000000000003,0.63,1,0.02,0,0.16936027532946657,3.11389378416117e-4,0.10563842147900937,0.5248249595608411,9.649542522631193e-4,TRUE,13.40427354148445
81.15111111111112,40.55555555555556,0.48,0.63,1,0.02,0,0.16792141029927002,3.1209859803808197e-4,0.10477793464274246,0.5271088723345293,9.796841254205658e-4,TRUE,13.260191029095877
81.15111111111112,40.55555555555556,0.49,0.63,1,0.02,0,0.16652040474730695,3.127891574676121e-4,0.10393982568167946,0.5293326906955858,9.942897179644713e-4,TRUE,13.12052741246922
81.15111111111112,40.55555555555556,0.5,0.63,1,0.02,0,0.16515559194134735,3.13461878122139e-4,0.10312311176985549,0.5314990602503509,0.0010087741603230424,TRUE,12.985063473338938
