beta0,gammaR,omega1,rel_2inf,gamma_mod,mu,beta1,ST_S,ST_I1,ST_R1,ST_R2,ST_I2,mapi,steady
202.8777777777778,40.55555555555556,1.3800000000000001,0.96,1,0.02,0,0.0038684368669579337,4.910008252476787e-4,0.7654056297952436,0.20430371159691885,0.025931220915629254,0.19417298929826582,TRUE
202.8777777777778,40.55555555555556,1.3900000000000001,0.96,1,0.02,0,0.0038420440619992085,4.91013834462019e-4,0.765222178029892,0.20433120410208422,0.026113559971563505,0.1928431148442452,TRUE
202.8777777777778,40.55555555555556,1.4000000000000001,0.96,1,0.02,0,0.0038160212740913314,4.910266612921395e-4,0.7650388285692102,0.20435831117282152,0.026295812322583254,0.19153195371460985,TRUE
202.8777777777778,40.55555555555556,1.41,0.96,1,0.02,0,0.003790360776125439,4.91039309546789e-4,0.7648555810291068,0.2043850408582027,0.02647797802701373,0.1902391136808538,TRUE
202.8777777777778,40.55555555555556,1.42,0.96,1,0.02,0,0.003765055054660871,4.910517829294074e-4,0.7646724350344547,0.2044114009847283,0.026660057143225502,0.18896421339985472,TRUE
202.8777777777778,40.55555555555556,1.43,0.96,1,0.02,0,0.0037400968025905032,4.910640850417144e-4,0.7644893902187686,0.20443739916396828,0.0268420497296293,0.1877068820388634,TRUE
202.8777777777778,40.55555555555556,1.44,0.96,1,0.02,0,0.003715478912106083,4.910762193872075e-4,0.7643064462239414,0.20446304279988953,0.027023955844674645,0.18646675891586523,TRUE
202.8777777777778,40.55555555555556,1.45,0.96,1,0.02,0,0.0036911944679494887,4.910881893744702e-4,0.7641236026999434,0.20448833909588593,0.027205775546845428,0.1852434931546305,TRUE
202.8777777777778,40.55555555555556,1.46,0.96,1,0.02,0,0.0036672367409363495,4.910999983203651e-4,0.76394085930456,0.20451329506152466,0.027387508894656964,0.18403674335372705,TRUE
202.8777777777778,40.55555555555556,1.47,0.96,1,0.02,0,0.003643599181739307,4.911116494531106e-4,0.7637582157031332,0.2045379175190216,0.027569155946653746,0.1828461772688463,TRUE
