R0,beta1,gamma,omega,rho,nu,disease,CFR_lo_time,cumcases_hi_time,cumdeaths_1yr
2,0.2,40.55555555555556,0.3375,0.7,0,covid,28.34246575342466,0.547945205479452,3974626.0401078477
2.1999999999999997,0.2,40.55555555555556,0.3375,0.7,0,covid,20.421917808219177,0.4465753424657534,3952961.740596895
2.4,0.2,40.55555555555556,0.3375,0.7,0,covid,17.69041095890411,0.3643835616438356,3981415.6583918086
2.5999999999999996,0.2,40.55555555555556,0.3375,0.7,0,covid,14.772602739726027,0.3041095890410959,4066403.6862718733
2.8,0.2,40.55555555555556,0.3375,0.7,0,covid,12.046575342465754,0.26301369863013696,4170743.524771689
3,0.2,40.55555555555556,0.3375,0.7,0,covid,10.271232876712329,0.23013698630136986,4266567.272169195
3.1999999999999997,0.2,40.55555555555556,0.3375,0.7,0,covid,8.882191780821918,0.2054794520547945,4345231.979640668
3.3999999999999995,0.2,40.55555555555556,0.3375,0.7,0,covid,7.5917808219178085,0.1863013698630137,4407499.808089465
3.5999999999999996,0.2,40.55555555555556,0.3375,0.7,0,covid,7.03013698630137,0.16986301369863013,4456272.290503207
3.8,0.2,40.55555555555556,0.3375,0.7,0,covid,6.756164383561644,0.15616438356164383,4494844.155200891
4,0.2,40.55555555555556,0.3375,0.7,0,covid,6.145205479452055,0.14520547945205478,4525536.011104768
4.199999999999999,0.2,40.55555555555556,0.3375,0.7,0,covid,5.471232876712329,0.13424657534246576,4550328.961172685
4.3999999999999995,0.2,40.55555555555556,0.3375,0.7,0,covid,5.112328767123287,0.12602739726027398,4570602.554867123
4.6,0.2,40.55555555555556,0.3375,0.7,0,covid,4.556164383561644,0.12054794520547946,4587453.034331502
4.8,0.2,40.55555555555556,0.3375,0.7,0,covid,4.276712328767124,0.11232876712328767,4601633.293432265
5,0.2,40.55555555555556,0.3375,0.7,0,covid,4.021917808219178,0.10684931506849316,4613679.21200478
5.199999999999999,0.2,40.55555555555556,0.3375,0.7,0,covid,3.8684931506849316,0.10136986301369863,4624069.266724876
5.3999999999999995,0.2,40.55555555555556,0.3375,0.7,0,covid,3.4657534246575343,0.0958904109589041,4633222.9871156765
5.6,0.2,40.55555555555556,0.3375,0.7,0,covid,3.2904109589041095,0.09315068493150686,4641211.806618822
5.8,0.2,40.55555555555556,0.3375,0.7,0,covid,3.1890410958904107,0.08767123287671233,4648391.275767073
6,0.2,40.55555555555556,0.3375,0.7,0,covid,3.0876712328767124,0.08493150684931507,4654769.356767539
1.2,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,Inf,2.095890410958904,862.2686507182474
1.4,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,Inf,1.0465753424657533,1182802.9688478902
1.5999999999999999,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,Inf,0.8054794520547945,3784270.616907957
1.7999999999999998,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,Inf,0.663013698630137,3974656.27175985
2,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,24.002739726027396,0.547945205479452,3980008.5911187725
2.1999999999999997,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,18.024657534246575,0.4465753424657534,3959938.24897848
2.4,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,14.887671232876713,0.3643835616438356,3988498.1538521177
2.5999999999999996,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,12.04931506849315,0.3041095890410959,4071970.889440521
2.8,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,10.213698630136987,0.26301369863013696,4174791.7462687367
3,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,8.887671232876713,0.23013698630136986,4269637.438229396
3.1999999999999997,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,8.093150684931507,0.2054794520547945,4347810.56643947
3.3999999999999995,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,7.167123287671233,0.1863013698630137,4409742.8898405805
3.5999999999999996,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,6.153424657534247,0.16986301369863013,4458379.20728101
3.8,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,5.441095890410959,0.15616438356164383,4496771.897960946
4,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,5.03013698630137,0.14520547945205478,4527362.705194215
4.199999999999999,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,4.498630136986302,0.13424657534246576,4552078.652432787
4.3999999999999995,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,4.2,0.12602739726027398,4572329.515798935
4.6,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,3.9972602739726026,0.12054794520547946,4589158.715746532
4.8,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,3.5452054794520547,0.11232876712328767,4603348.050735029
5,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,3.3643835616438356,0.10684931506849316,4615473.551587627
5.199999999999999,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,3.2383561643835614,0.10136986301369863,4625882.439659481
5.3999999999999995,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,3.147945205479452,0.0958904109589041,4635167.225154698
5.6,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,2.9945205479452053,0.09315068493150686,4643504.278069228
5.8,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,2.873972602739726,0.08767123287671233,4651186.251603974
6,0.2,40.55555555555556,0.41666666666666663,0.7,0,covid,2.813698630136986,0.08493150684931507,4658576.499320409
1.2,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,Inf,2.0931506849315067,862.268653016188
