covid R0=2,sars R0=2,mers R0=2,covid R0=4,sars R0=4,mers R0=4,covid R0=6,sars R0=6,mers R0=6
0.0023602863689586883,0.0435751611969666,0.35386101543571785,1.60080596391014e-5,0.0016246983807387998,0.3713521103278088,1.6000000038317334e-5,0.0016245541530923284,0.3713521704826812
0.0023588973764364684,0.043550289393291114,0.3538715116706786,1.600798484583537e-5,0.0016246970420032518,0.37135211088849396,1.600000003792548e-5,0.001624554153085315,0.37135217048268415
0.0023574522099938326,0.04352441188547388,0.3538824309231472,1.6007911623678206e-5,0.0016246957313870473,0.3713521114374137,1.600000003754119e-5,0.001624554153078437,0.371352170482687
0.0023559484234457586,0.04349748488365304,0.3538937915654342,1.6007839952202194e-5,0.001624694448524571,0.37135211197472096,1.6000000037164254e-5,0.0016245541530716908,0.3713521704826898
0.0023543835281354774,0.04346946383797067,0.3539056122860389,1.6007769808522524e-5,0.001624693193006233,0.37135211250058725,1.600000003679444e-5,0.0016245541530650717,0.3713521704826926
0.0023527549977648277,0.043440303525050974,0.35391791205327167,1.6007701167639674e-5,0.001624691964384596,0.37135211301519994,1.6000000036431544e-5,0.001624554153058577,0.3713521704826953
0.0023510602740144547,0.043409958148615854,0.3539307100729582,1.6007634002757365e-5,0.0016246907621800678,0.37135211351875963,1.6000000036075356e-5,0.0016245541530522023,0.371352170482698
0.002349296773000945,0.04337838145508032,0.35394402573987593,1.600756828557586e-5,0.0016246895858861487,0.3713521140114782,1.6000000035725667e-5,0.0016245541530459436,0.3713521704827006
0.002347461892614799,0.043345526864913414,0.35395787858259514,1.6007503986560887e-5,0.0016246884349742454,0.371352114493577,1.600000003538228e-5,0.0016245541530397977,0.3713521704827032
0.002345553020778744,0.04331134762047137,0.35397228820143156,1.600744107518866e-5,0.0016246873088980552,0.3713521149652845,1.6000000035044995e-5,0.001624554153033761,0.3713521704827057
0.00234356754466019,0.04327579695090774,0.35398727419925863,1.600737952016782e-5,0.0016246862070975394,0.371352115426835,1.6000000034713625e-5,0.0016245541530278303,0.37135217048270813
0.002341502860864463,0.04323882825463702,0.35400285610498416,1.600731928963926e-5,0.0016246851290024988,0.3713521158784669,1.6000000034387985e-5,0.0016245541530220022,0.3713521704827106
0.0023393563866267925,0.043200395299673164,0.35401905328955746,1.6007260351354974e-5,0.0016246840740357748,0.3713521163204219,1.600000003406788e-5,0.001624554153016273,0.371352170482713
0.002337125572010701,0.04316045244197948,0.3540358848744542,1.600720267283711e-5,0.0016246830416160954,0.37135211675294294,1.6000000033753144e-5,0.0016245541530106402,0.3713521704827154
0.002334807913107943,0.04311895486174285,0.35405336963267725,1.600714622151856e-5,0.0016246820311605918,0.37135211717627403,1.6000000033443594e-5,0.0016245541530050998,0.3713521704827177
0.0023324009662227217,0.04307585881726279,0.35407152588240576,1.6007090964866388e-5,0.0016246810420870075,0.37135211759065845,1.600000003313907e-5,0.0016245541529996497,0.37135217048271996
0.002329902363006139,0.043031121915845544,0.35409037137355126,1.6007036870489386e-5,0.0016246800738156223,0.3713521179963388,1.6000000032839395e-5,0.0016245541529942861,0.3713521704827222
0.0023273098264904365,0.04298470340080023,0.3541099231676001,1.6006983906231105e-5,0.0016246791257709184,0.3713521183935558,1.6000000032544418e-5,0.001624554152989007,0.3713521704827244
0.0023246211879539903,0.042936564453300914,0.35413019751126373,1.6006932040249618e-5,0.0016246781973830067,0.37135211878254787,1.6000000032253977e-5,0.0016245541529838088,0.3713521704827266
0.0023218344045283033,0.042886668507525774,0.35415120970460245,1.6006881241085196e-5,0.001624677288088839,0.3713521191635504,1.600000003196792e-5,0.0016245541529786892,0.3713521704827287
