R0,beta1,gamma,omega,rho,disease,CFR_lo_time,cumcases_hi_time,cumdeaths_1yr
2.90625,0.2,40.55555555555556,0.7333333333333333,0.7,covid,6.402739726027397,0.2821917808219178,4219171.99214421
3.1125,0.2,40.55555555555556,0.7333333333333333,0.7,covid,5.501369863013698,0.2410958904109589,4344952.113470797
3.3187500000000005,0.2,40.55555555555556,0.7333333333333333,0.7,covid,5.082191780821918,0.2136986301369863,4442222.711917152
3.5250000000000004,0.2,40.55555555555556,0.7333333333333333,0.7,covid,4.252054794520548,0.1917808219178082,4516110.254564379
3.73125,0.2,40.55555555555556,0.7333333333333333,0.7,covid,4.046575342465753,0.1726027397260274,4572057.368462418
3.9375,0.2,40.55555555555556,0.7333333333333333,0.7,covid,3.654794520547945,0.1589041095890411,4614667.52657326
4.143750000000001,0.2,40.55555555555556,0.7333333333333333,0.7,covid,3.117808219178082,0.14794520547945206,4647316.652904463
4.3500000000000005,0.2,40.55555555555556,0.7333333333333333,0.7,covid,2.9315068493150687,0.136986301369863,4672837.044405652
4.55625,0.2,40.55555555555556,0.7333333333333333,0.7,covid,2.758904109589041,0.12876712328767123,4693553.216612633
4.7625,0.2,40.55555555555556,0.7333333333333333,0.7,covid,2.136986301369863,0.12054794520547946,4711408.6331363665
4.96875,0.2,40.55555555555556,0.7333333333333333,0.7,covid,2.0164383561643837,0.11506849315068493,4727529.481725963
5.175,0.2,40.55555555555556,0.7333333333333333,0.7,covid,1.895890410958904,0.10684931506849316,4740210.149172002
5.3812500000000005,0.2,40.55555555555556,0.7333333333333333,0.7,covid,1.7945205479452055,0.10136986301369863,4748101.311456357
5.5875,0.2,40.55555555555556,0.7333333333333333,0.7,covid,1.6356164383561644,0.09863013698630137,4752177.326300789
5.79375,0.2,40.55555555555556,0.7333333333333333,0.7,covid,1.1561643835616437,0.09315068493150686,4754318.130865751
6,0.2,40.55555555555556,0.7333333333333333,0.7,covid,1.084931506849315,0.08767123287671233,4755480.511901268
1.05,0.2,40.55555555555556,0.8124999999999999,0.7,covid,Inf,Inf,8.248654679874425
1.25625,0.2,40.55555555555556,0.8124999999999999,0.7,covid,Inf,25.97808219178082,14337.493419753911
1.4625000000000001,0.2,40.55555555555556,0.8124999999999999,0.7,covid,Inf,6.104109589041096,2968645.673500531
1.6687500000000002,0.2,40.55555555555556,0.8124999999999999,0.7,covid,27.161643835616438,1.106849315068493,3760245.4419834074
1.875,0.2,40.55555555555556,0.8124999999999999,0.7,covid,17.276712328767122,0.8054794520547945,3816583.4989603013
2.08125,0.2,40.55555555555556,0.8124999999999999,0.7,covid,12.33972602739726,0.852054794520548,3783881.3432081086
2.2875,0.2,40.55555555555556,0.8124999999999999,0.7,covid,10.123287671232877,0.7315068493150685,3808152.2651050435
2.4937500000000004,0.2,40.55555555555556,0.8124999999999999,0.7,covid,8.32054794520548,0.44931506849315067,3920811.910089622
2.7,0.2,40.55555555555556,0.8124999999999999,0.7,covid,7.197260273972603,0.3424657534246575,4075909.4561102185
2.90625,0.2,40.55555555555556,0.8124999999999999,0.7,covid,6.158904109589041,0.2821917808219178,4225752.007846443
3.1125,0.2,40.55555555555556,0.8124999999999999,0.7,covid,5.219178082191781,0.2410958904109589,4349608.517221476
3.3187500000000005,0.2,40.55555555555556,0.8124999999999999,0.7,covid,4.364383561643836,0.2136986301369863,4445931.475709338
3.5250000000000004,0.2,40.55555555555556,0.8124999999999999,0.7,covid,4.120547945205479,0.1917808219178082,4519433.585135442
3.73125,0.2,40.55555555555556,0.8124999999999999,0.7,covid,3.8493150684931505,0.1726027397260274,4575465.867859999
3.9375,0.2,40.55555555555556,0.8124999999999999,0.7,covid,3.136986301369863,0.1589041095890411,4618859.628497609
4.143750000000001,0.2,40.55555555555556,0.8124999999999999,0.7,covid,2.9534246575342467,0.14794520547945206,4653515.440657191
